nombre_id,nombre
763,NAVASCUÉS/NABASKOZE
764,LABASTIDA
765,TUDELA
766,LARRAGA
767,LA ALMUNIA DE DOÑA GODINA
768,SANTA EULALIA DEL CAMPO
769,"FORMIGAL, SARRIOS"
770,TARAZONA
771,FONFRÍA
772,"ALFARO, LA PLANA"
773,CASTEJON DE VALDEJASA
774,MONREAL/ELO
775,SAN PEDRO MANRIQUE
776,EJEA DE LOS CABALLEROS
777,ALHAMA DE ARAGON
778,ALMAZUL
779,"PANTICOSA, PETROSOS"
780,IRURTZUN
781,"BIESCAS, EMBALSE DE BÚBAL"
782,MONTEAGUDO
783,ARCOS DE JALÓN
784,EL PEDREGAL
785,"CASPE, PLANA DEL PILÓN"
786,MORELLA
787,QUINTO
788,ALMUDÉVAR
789,ESTERRI D'ÀNEU
790,VALMADRID 
791,MARTINET  
792,COLL DE NARGÓ
793,MONTALBÁN
794,LECIÑENA
795,TORÀ
796,"ANDORRA, HORCALLANA"
797,CAP DE REC
798,TUIXENT
799,SANT MAURICI (LLAC)
800,HIJAR
801,SABIÑÁNIGO
802,CASTELLOTE
803,ARTESA DE SEGRE
804,MUNIESA
805,"AÍNSA-SOBRARBE, LA SERRETA"
806,EL SOLERÀS
807,LA POBLA DE CÉRVOLES
808,TORLA - ORDESA
809,TORRE DE CABDELLA 
810,SEIRA
811,LLIMIANA
812,LLORAC
813,VALL DE BOÍ
814,"TORLA-ORDESA, EL CEBOLLAR"
815,BENASQUE
816,"CERLER, COGULLA"
817,ELS TORMS
818,OS DE BALAGUER
819,PORT AINÉ
820,MOLLERUSSA
821,BENABARRE
822,SOPEIRA
823,TORDERA - GRANYANELLA
824,LA POBLA DE MASSALUCA
825,LANAJA
826,BALLOBAR
827,BOSSÒST
828,FRAGA
829,CABACÉS
830,BELLO
831,SARIÑENA
832,HUESCA
833,BARBASTRO
834,"CAPELLA, LAGUARRES"
835,VALDERROBRES
836,CAP DE VAQUÈIRA
837,HORTA DE SANT JOAN
838,RASQUERA
839,VALCARLOS/LUZAIDE
840,"TAMARITE DE LITERA, LA MELUSA"
841,TORREJÓN DE ARDOZ
842,"CABRERA, PARQUE NACIONAL DE CABRERA"
843,CITFAGRO_88_GAITERO
844,CITFAGRO_62_TRIGO
845,STA. CRUZ DE TENERIFE
846,CITFAGRO_05_GUIAISO1
847,CITFAGRO_13_VILAFLOR
848,CITFAGRO_77_PINAL
849,CITFAGRO_54_TOPONEGRO
850,CITFAGRO_64_HOYOS
851,CITFAGRO_94_LOSTOPOS
852,CITFAGRO_71_PALOB
853,CITFAGRO_69_SUERTE
854,CITFAGRO_76_POZO
855,CITFAGRO_09_HELECHO
856,TACORON-LAPILLAS-TORTUGA
857,CITFAGRO_73_REDON
858,CITFAGRO_87_AGUAMANSA
859,CITFAGRO_97_TAGANANA
860,CITFAGRO_89_CHAVAO
861,CITFAGRO_90_PICACHO
862,CITFAGRO_96_ARAYA
863,CITFAGRO_91_CUBO
864,CITFAGRO_10_RAVELO
865,CITFAGRO_81_MENA
866,CITFAGRO_01_ARICO
867,CITFAGRO_70_BENIJO
868,CITFAGRO_74_CHIO
869,CITFAGRO_67_MATANZA
870,CITFAGRO_98_ELDRAGO
871,"BARCELONA, DRASSANES"
872,"BARCELONA, PORT OLÍMPIC"
873,CITFAGRO_92_SANTACRUZ
874,GAUCÍN
875,SOTILLO DE LA ADRADA
876,VILLARRODRIGO
877,ESCUELA NAVAL DE MARÍN
878,MANRESA (LA CULLA)
879,OLIVA
880,CARTAGENA/SALINAS CABO PALOS
881,VÉLEZ-MÁLAGA
882,RETAMAL DE LLERENA
883,SAN ROQUE DE RIOMIERA
884,"MADRID, CIUDAD UNIVERSITARIA"
885,"PARADOR DE ORDESA, PARQUE NACIONAL ORDESA Y MONTEPERDIDO"
886,"ALCORNOQUERA, PARQUE NACIONAL CABAÑEROS"
887,"CAMARATE, PARQUE NACIONAL SIERRA NEVADA"
888,"RÁGOL, PARQUE NACIONAL SIERRA NEVADA"
889,"NACIMIENTO, PARQUE NACIONAL SIERRA NEVADA"
890,"LAÚJAR, PARQUE NACIONAL SIERRA NEVADA"
891,"PRADOLLANO, PARQUE NACIONAL SIERRA NEVADA"
892,"CAMARATE 2, PARQUE NACIONAL SIERRA NEVADA"
893,"CAÑAR, PARQUE NACIONAL SIERRA NEVADA"
894,"LAGUNA SECA, PARQUE NACIONAL SIERRA NEVADA"
895,HUÉSCAR
